,time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
119,1.9833333,-8.157372508252623,-2.3305213543992673,14.671726822191005,-0.07888299358698783,0.022812703629776016,0.04488633787764414,-11.523348869807087,1.0605749463866148,-8.951416102650327,-12.28881742384497,7.472652103142735,40.967642497621796,0.0,5.330505018084682,12.266266452639325,-0.4894031869401556,-18.477999708262683,-4.129105671465065,15.856875173541358,0.0,-10.318148375432969,9.85531693641343,-8.556224420603995,3.5926425731345746,-4.918086202363634,-2.160062237913554,2.526492564371592,0.28474284915864256,6.4825044107798755,4.02051931177511,-2.9788100267383433,3.157105621674247e-13,0.02999363229515155
120,2.0,-11.84048256178201,-4.046484627212515,18.832837761369536,-0.07803189762460969,0.02179533525798479,0.03409656370435026,-9.094441144003966,0.2001588893721369,-14.724940075457399,-16.42165597464796,4.035051712856521,49.091279665051424,0.0,7.040582957204758,10.797579913169738,-14.489361672061772,-11.100539874466957,-5.432447393267381,5.592367498228405,0.0,-12.880382798255404,8.151795180163347,-9.78445173466756,5.7924597365413,-3.8430251970326696,-1.6542592701709613,2.7956627489550594,-0.13093731378869355,10.358536625354681,2.7465422395703962,-2.368019726204556,-1.1832682158730134e-12,0.10821415795554264
121,2.0166667,-10.37488225844067,-3.878122765584477,13.092236608708566,-0.04996601987690427,0.018713154844630032,0.029720460005407602,-3.863448003135558,-0.5137846425102249,-13.637313127645346,-16.41850226066654,-5.3158679790087495,33.90204779906954,0.0,5.016708178733289,7.858599782930672,-19.13643809170039,-3.714289096745832,-3.867902244065131,1.5048310630950934,0.0,-14.158473972884003,5.902747058498272,-6.481743740797611,7.316091018539044,-2.846358204503674,-1.2899684560315463,1.336862991389904,-0.1101235406410796,11.959668202058571,1.7939399377201095,-1.7772871803841308,-2.8848798010550636e-12,0.08679868491054854
122,2.0333333,-5.7739688447062125,-0.4156151727007745,2.5242227871720138,-0.011321152333667164,0.015408839666541737,0.04012048315044708,-0.4712827526688365,-0.8973387517371477,-9.785845687138629,-12.985227425395493,-15.11591066806863,8.782189243322689,0.0,-2.3073645909428544,7.868826759333786,-8.856633299980038,-7.806772699134943,-1.7873662551625775,3.9751470725213673,0.0,-18.58738262103105,5.35080590645533,0.31769453195834485,9.889335269382844,-2.64362666649567,-1.0011395148091626,-0.6268663415360578,-0.007814586195416272,12.995279594905897,1.9962174319293557,-1.0879167182494307,-2.0975098395324978e-12,0.1873638984627894
123,2.05,-1.686212525641407,5.334733301671173,-6.040887544091331,0.018835930075375946,0.009606138697361339,0.05756735291144367,-0.6703946690959424,-1.0488573275389452,-4.407781689969687,-8.56166719295516,-22.70036249551952,-14.482444988827123,0.0,-11.837856322340055,10.24230742839289,6.930150898620208,-20.92527164477325,-1.7689717943020564,8.66029400923129,0.0,-26.936860767282248,5.891355239646773,7.502442869819587,13.884326073415185,-2.7876535273284864,-0.9148744364645269,-1.8707832505585706,0.0348281835388284,14.69415798754631,3.010434178384912,-0.292985823783965,3.5918545803634222e-12,0.5420478978040849
124,2.0666667,0.5304715404022109,10.432314656328977,-9.761023157777053,0.032889124614558396,-0.0004982031567246355,0.06935358722697318,-1.8104856069060848,-1.0619392433811674,3.256052455489241,-4.508909310624768,-28.65756821639883,-31.957736479813974,0.0,-17.695336362177443,9.177496794088936,10.770122722166072,-28.9574075127754,-6.334212090625641,8.462542271768676,0.0,-35.41540184277437,5.839210205313029,12.200721078125957,17.892072226385444,-2.298334047654914,-1.0799465148198395,-1.749394243150412,0.023522634360173898,16.696785091859642,3.79596622917926,0.5810395139123665,1.163627858971887e-11,1.1223610769519727
125,2.0833333,2.318473976382988,11.622759778798537,-10.57777176635885,0.03521894659519525,-0.01255916211429194,0.0675098974567194,1.0543100644991152,-0.9064021372925865,13.797006342029164,-0.21535056573946898,-34.68141371139439,-45.86526370811687,0.0,-15.267493171216294,-0.46661923310245257,-7.921111777361279,-19.630372218462064,-16.286561101346813,-1.101972240169445,0.0,-37.92626908429039,4.5068336409254535,13.37261115054624,19.631639006522136,-0.6925313825534338,-1.34155376136122,-0.4604276466617727,0.0016409695439000838,17.254769750300625,3.5341268571007936,1.4741130707692853,1.1445023824152304e-11,1.7566623980600258
126,2.1,4.843428279544631,7.779556663594887,-11.083890903153467,0.03200428522071634,-0.021442547481324844,0.047043661984171106,9.572083202517966,-0.5763404076463288,25.495417803865752,4.865229748911785,-40.32168854334838,-57.589231440413144,0.0,-5.1966146747519915,-16.77504868964467,-42.438250779722324,5.478486847978524,-28.50115792660979,-17.527487631995655,0.0,-30.4744140348444,2.3634533572317507,11.555716266145348,17.36793692957356,1.5902103479933285,-1.4856630200718268,1.0707150273362398,-0.00768123708237884,14.56456024984804,2.205136839430294,2.2208451838641685,-9.2238314149327e-12,2.2225013275002365
127,2.1166667,6.519633800174012,1.4569981914668158,-10.653031360015657,0.022908255938189674,-0.023690969088182454,0.003833475107893055,18.07530043488146,-0.2015116771290714,33.20348585800403,9.106993906120374,-40.90744880351988,-62.240708565045715,0.0,5.946296503772121,-30.649232062005485,-72.15191458947483,31.55337746659478,-36.03128832245565,-32.44655980822166,0.0,-14.609734631125095,-0.08289104523541718,7.470391520233334,10.92586500625073,3.580222459557991,-1.4771349886712397,1.7083346477547738,-0.005428152764920537,8.201434045935981,0.4788622692697457,2.5531696803464614,-4.5194465792609226e-11,2.3619824853682534
128,2.1333333,4.363947580251714,-2.383380942611184,-6.205741691793117,0.004133989637926391,-0.019725569123204043,-0.055886933118085125,16.632755648550766,0.047550453720927505,29.794416209960566,9.540711415271103,-29.3009470468956,-50.363435942591245,0.0,9.831100761081833,-32.7020912183147,-77.55812232105474,42.623828207168835,-32.359480324839645,-37.9370335383621,0.0,2.8802107215831576,-2.7160113764300204,1.3413181094059599,1.9629598093593774,4.4438029951160765,-1.5394047291275976,0.8368811115525936,-0.0004918776214285843,-0.2938278566474286,-0.8596063557580231,2.2454982660352276,-5.639788456994552e-11,2.1584768803478225
